ACCOUNT|PARENT|ACCOUNT TYPE|DATA STORAGE|VARIANCE REPORTING|ALIAS: DEFAULT
AC_2899000|BALANCE_SHEET_OCF|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2899000:::L6 TOT LIAB & EQUITY
AC_2890000|AC_2899000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2890000:::L5 TOT LIAB & EQUITY
AC_2000000|AC_2890000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2000000:::TOTAL LIABILITIES
AC_2100000|AC_2000000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2100000:::CURRENT LIABILITIES
AC_2110000|AC_2100000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2110000:::CURRENT PORTION - LT DEBT
AC_2111000|AC_2110000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2111000:::CURRENT PORTION OF LT DEBT
AC_2111100|AC_2111000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2111100:::TERM LOAN ST BORROWINGS
AC_2111110|AC_2111000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2111110:::TERM LOAN ST REPAYMENTS
AC_2111120|AC_2111000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2111120:::REPO ST BORROWINGS
AC_2111130|AC_2111000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2111130:::REPO ST REPAYMENTS
AC_2200000|AC_2100000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2200000:::ST OPERATING LEASE LIABILITY
AC_2201000|AC_2200000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2201000:::ST OPERATING LEASE LIABILITIES
AC_2201100|AC_2201000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2201100:::SHORT-TERM OPERATING LEASE
AC_2120000|AC_2100000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2120000:::TRADE ACCOUNT PAYABLE
AC_2121000|AC_2120000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2121000:::ACCOUNTS PAYABLE-TRADE
AC_2121100|AC_2121000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2121100:::ACCOUNTS PAYABLE
AC_2121110|AC_2121000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2121110:::AP-ACCRUED
AC_2121120|AC_2121000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2121120:::AP-ACCRUED IT
AC_2121130|AC_2121000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2121130:::AP - ACCRUED PPM MISC
AC_2121140|AC_2121000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2121140:::AP US BANK CREDIT CARD
AC_2121150|AC_2121000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2121150:::ACCTS PYBLE-STAN
AC_2121160|AC_2121000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2121160:::AP - AIR TICKET PROVISION
AC_2121170|AC_2121000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2121170:::PAYABLE TO ABM
AC_2121180|AC_2121000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2121180:::AVI PORT FEES
AC_2121190|AC_2121000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2121190:::PPM STATISTICAL UNIT CLEARING
AC_2121200|AC_2121000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2121200:::TRADE ACCOUNTS PAYABLE
AC_2122000|AC_2120000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2122000:::ACCTS PAYABLE-LANDOWNER
AC_2122100|AC_2122000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2122100:::LANDOWNER ACCTS
AC_2123000|AC_2120000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2123000:::BANK OVERDRAFT
AC_2123100|AC_2123000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2123100:::BOOK CASH OVERDRAFT
AC_2123110|AC_2123000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2123110:::CHROMERVR - ACCRUAL
AC_2123120|AC_2123000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2123120:::CHROMERVR - CCARD ACTUAL
AC_2123130|AC_2123000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2123130:::CHROMERVR - OUT OF POCKET
AC_2130000|AC_2100000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2130000:::COMPENSATION
AC_2131000|AC_2130000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2131000:::ACCRUED BONUSES
AC_2131100|AC_2131000|LIABILITY|NEVER SHARE|NON-EXPENSE|AC_2131100:::ACCRUED BONUS
AC_2132000|AC_2130000|LIABILITY|DYNAMIC CALC|NON-EXPENSE|AC_2132000:::ACCRUED COMMISSIONS
